EntityNumber,Language,TypeOfDenomination,Denomination
0211.176.820,2,2,Fabrique d'Eglise Saint-Remy à Fooz (WL - Awans)
0211.176.919,2,2,Fabrique d'Eglise Saint-Martin à Dion-le-Val (WL - Chaumont-Gistoux)
0211.177.018,3,2,Kerkfabriek Heilige Pius X te Deurne (VL - Antwerpen)
0211.177.117,2,2,Fabrique d'Eglise Saint Lambert ( WL - Dinant )
0211.177.216,2,2,Fabrique d'Eglise Sainte-Anne à Anseremme (WL - Dinant)
0211.177.315,2,2,Fabrique d'Eglise Saints-Cyr-et-Julitte (WL - Donceel)
0211.177.414,2,2,Fabrique d'Eglise Sainte Marie Mère de Dieu ( WL -  Mouscron )
0211.177.612,3,2,Kerkfabriek Onze-Lieve-Vrouw van Goede Wil (VL - Duffel)
0211.177.711,3,2,Kerkfabriek Sint-Laurentius te Zammel (VL - Geel)
0211.177.810,3,2,Kerkfabriek Sint-Lucia te Oosterlo (VL - Geel)
0211.177.909,3,2,Kerkfabriek Sint-Apollonia te Stelen (VL - Geel)
0211.178.008,3,2,Kerkfabriek Sint-Hubertus (VL - Geel)
0211.178.107,3,2,Kerkfabriek Heilig Hart te Winkelomheide (VL - Geel)
0211.178.305,3,2,Kerkfabriek Sint-Lambertus te Bel (VL - Geel)
0211.178.404,2,2,Fabrique d'Eglise Saint-Nicolas (WL - Enghien)
0211.178.503,2,2,Fabrique d'Eglise Sainte Thérèse ( WL- Esneux )
0211.178.503,2,3,211599462
0211.178.602,3,2,Kerkfabriek Sint-Amandus te Erembodegem (VL - Aalst)
0211.178.798,2,2,Fabrique d'Eglise Notre-Dame à Fallais (WL - Braives)
0211.178.897,3,2,Kerkfabriek Onze-Lieve-Vrouw Hemelvaart te Erembodegem (VL - Aalst)
0211.178.996,3,2,Kerkfabriek Notre Dame (VL - Essen)
0211.179.095,2,2,Fabrique d'Eglise Sacré-Coeur et Saint-Jean-Baptiste à Roloux (WL - Fexhe-le-Haut-Clocher)
0211.179.194,2,2,Fabrique d'Eglise Notre-Dame Immaculée (BR - Etterbeek)
0211.179.194,3,2,Kerkfabriek Onze-Lieve-Vrouw Onbevlekt (BR - Etterbeek)
0211.179.293,2,2,Fabrique d'Eglise Notre-Dame du Sacré-Coeur (BR - Etterbeek)
0211.179.293,3,2,Kerkfabriek Onze-Lieve-Vrouw van het Heilig Hart (BR - Etterbeek)
0211.179.392,2,2,Etablissement de Culte Saint-Antoine de Padoue (BR - Etterbeek)
0211.179.392,3,2,Eredienst instelling Sint-Antonius van Padua  (BR - Etterbeek)
0211.179.491,2,2,Fabrique d'Eglise Sainte-Gertrude (BR - Etterbeek)
0211.179.491,3,2,Kerkfabriek Sint-Gertrudis (BR - Etterbeek)
0211.179.590,3,2,Kerkfabriek Onze-Lieve-Vrouw van La Salette te Etikhove (VL - Maarkedal)
0211.179.689,4,2,Kirchenfabrik Sankt-Lambertus (WL - Eupen)
0211.179.788,4,2,Kirchenfabrik Sankt-Johannes-der-Täufer (WL - Eupen)
0211.179.887,4,2,Kirchenfabrik Sankt Mariä Empfängnis
0211.179.986,4,2,Kirchenfabrik Sankt-Joseph (WL - Eupen)
0211.180.085,4,2,Kirchenfabrik Sankt-Nicolaus
0211.180.184,3,2,Kerkfabriek Sint-Christoffel (VL - Evergem)
0211.180.283,2,2,Fabrique d'Eglise Notre-Dame Immaculée (BR - Evere)
0211.180.283,3,2,Kerkfabriek Onze-Lieve-Vrouw Onbevlekt (BR - Evere)
0211.180.382,2,2,Fabrique d'Eglise Saint-Joseph (BR - Evere)
0211.180.382,3,2,Kerkfabriek Sint-Jozef (BR - Evere)
0211.180.481,2,2,Fabrique d'Eglise Saint-Vincent (BR - Evere)
0211.180.481,3,2,Kerkfabriek Sint-Vincentius (BR - Evere)
0211.180.580,3,2,Kerkfabriek Sint-Martinus en Sint-Lodewijk te Everberg (VL - Kortenberg)
0211.180.679,3,2,Kerkfabriek Sint-Jozef te Everbeek (VL - Brakel)
0211.180.778,2,2,Fabrique d'Eglise Saint-Curé d'Ars (BR - Forest)
0211.180.778,3,2,Kerkfabriek Heilige-Pastoor van Ars (BR - Vorst)
0211.180.877,2,2,Fabrique d'Eglise Sainte Aldegonde ( WL - Froidchapelle )
0211.180.976,3,2,Kerkfabriek Onze-Lieve-Vrouw te Gaasbeek (VL - Lennik)
0211.181.669,2,2,Fabrique d'Eglise Saint Barthélemy ( WL - Gembloux )
0211.181.768,2,2,Fabrique d'Eglise Saint-Feuillen (WL - Fosses-la-Ville)
0211.181.966,2,2,Fabrique d'Eglise Saint Martin ( WL -  Frasnes-lez-Anvaing )
0211.182.065,3,2,Kerkfabriek Sint-Niklaas (VL - Veurne)
0211.182.164,2,2,Fabrique d'Eglise Saint-Remy à Geest-Gérompont (WL - Ramillies)
0211.182.263,2,2,Fabrique d'Eglise Notre Dame du Buisson ( WL - Gembloux )
0211.182.362,3,2,Kerkfabriek Sint-Petrus (VL - Izegem)
0211.182.461,3,2,Kerkfabriek Sint-Jozef Werkman te Hoevenzavel (VL - Genk)
0211.182.560,3,2,Kerkfabriek Sint-Salvator (VL - Gent)
0211.182.659,3,2,Kerkfabriek Sint-Jan-Baptist De La Salle te Boxbergheide (VL - Genk)
0211.182.758,2,2,Fabrique d'Eglise Saint Guibert ( WL - Namur )
0211.182.857,3,2,Kerkfabriek Sint-Eventius te Winterslag (VL - Genk)
0211.182.956,3,2,Kerkfabriek Sint-Albertus te Zwartberg (VL - Genk)
0211.183.055,2,2,Fabrique d'Eglise Sainte-Gertrude à Gentinnes (WL - Chastre)
0211.183.253,3,2,Kerkfabriek Sint-Eligius te Gentbrugge (VL - Gent)
0211.183.352,3,2,Kerkfabriek Sint-Simon en Sint-Judas-Thaddeus te Gentbrugge (VL - Gent)
0211.183.451,3,2,Kerkfabriek Heilig Kruis te Sint-Kruis-Winkel (VL - Gent)
0211.183.550,3,2,Kerkfabriek Sint-Bavo te Mendonk (VL - Gent)
0211.183.748,3,2,Kerkfabriek Onze-Lieve-Vrouw Geboorte te Desteldonk (VL - Gent)
0211.183.847,2,2,Fabrique d'Eglise Saint-Martin à Ghlin (WL - Mons)
0211.183.946,2,2,Fabrique d'Eglise Sainte Barbe ( WL - Mons )
0211.184.045,3,2,Kerkfabriek Sint-Petrus te Gijverinkhove (VL - Alveringem)
0211.184.144,3,2,Kerkfabriek Heilige Maria Goretti te Bokrijk (VL - Genk)
0211.184.243,3,2,Kerkfabriek Heilige Kruis (VL - Hooglede)
0211.184.342,3,2,Kerkfabriek Maria Moeder van de Kerk te Kolderbos (VL - Genk)
0211.184.441,2,2,Fabrique d'Eglise Saint-Joseph à Glimes (WL - Incourt)
0211.184.540,3,2,Kerkfabriek Sint-Paulus Bekering te Godveerdegem (VL - Zottegem)
0211.184.639,2,2,Fabrique d'Eglise Saint Charles ( WL - Yvoir )
0211.184.738,2,2,Fabrique d'Eglise Saint-Pierre à Godinne (WL - Yvoir)
0211.184.936,2,2,Fabrique d'Eglise Saint-Joseph à Gosselies (WL - Charleroi)
0211.185.035,2,2,Fabrique d'Eglise Saint-Jean-Baptiste à Gosselies (WL - Charleroi)
0211.185.134,3,2,Kerkfabriek Onze-Lieve-Vrouw van Goede Bijstand te Strijland (VL - Gooik)
0211.185.233,3,2,Kerkfabriek Sint-Niklaas (VL - Gooik)
0211.185.332,2,2,Fabrique d'Eglise Notre Dame de Lourdes ( WL - Charleroi )
0211.185.431,3,2,Kerkfabriek Onze-Lieve-Vrouw van de Rozenkrans te Termien (VL - Genk)
0211.185.530,2,2,Fabrique d'Eglise Notre-Dame Auxiliatrice à Berleur (WL - Grâce-Hollogne)
0211.185.629,3,2,Kerkfabriek Sint-Martinus en Eutropius te Gottem (VL - Deinze)
0211.185.827,3,2,Kerkfabriek Sint-Bartholomeus (VL - Geraardsbergen)
0211.185.926,3,2,Kerkfabriek Sint-Jan-Baptist te Grammene (VL - Deinze)
0211.186.025,2,2,Fabrique d'Eglise Sainte-Apolline à Wansin (WL - Hannut)
0211.186.124,2,2,Fabrique d'Eglise Saint-Lambert à Petit-Hallet (WL - Hannut)
0211.186.223,2,2,Fabrique d'Eglise Saint-Blaise à Grand-Hallet (WL - Hannut)
0211.186.322,2,2,Fabrique d'Eglise Saint-Martin (WL - Fexhe-le-Haut-Clocher)
0211.186.421,2,2,Fabrique d'Eglise Notre-Dame à Grand-Rosière (WL - Ramillies)
0211.186.520,3,2,Kerkfabriek Onze-Lieve-Vrouw te Grimminge (VL - Geraardsbergen)
0211.186.619,3,2,Kerkfabriek Heilige Hart en Sint-Jozef (VL - Grimbergen)
0211.186.718,3,2,Kerkfabriek Heilige Zaligmaker (VL - Grimbergen)
0211.186.817,3,2,Kerkfabriek Sint-Servatius (VL - Grimbergen)
0211.186.916,3,2,Kerkfabriek Sint-Cornelius te Molenveld (VL - Grimbergen)
0211.187.015,2,2,Fabrique d'Eglise Saint-Joseph et Saint-Pierre à Doiceau (WL - Grez-Doiceau)
0211.187.114,3,2,Kerkfabriek Sint-Dominicus-Javio te Groot-Bijgaarden (VL - Dilbeek)
0211.187.213,2,2,Fabrique d'Eglise Saint-Joseph à Grivegnée (WL - Liège)
0211.187.312,2,2,Fabrique d'Eglise Sacré-Coeur à Robermont-Grivegnée (WL - Liège)
0211.187.411,2,2,Fabrique d'Eglise Saint-Lambert à Soumagne-Grivegnée (WL - Liège)
0211.187.510,3,2,Kerkfabriek Heilige Familie te Groot-Bijgaarden (VL - Dilbeek)
0211.187.609,2,2,Fabrique d'Eglise Saint-Antoine de Padoue (BR - Forest)
0211.187.609,3,2,Kerkfabriek Sint-Antonius van Padua (BR - Vorst)
0211.187.807,3,2,Kerkfabriek Sint-Jacobus de Meerdere te Haasdonk (VL - Beveren)
0211.187.906,2,2,Fabrique d'Eglise Saint-Hubert à Haccourt (WL - Oupeye)
0211.188.005,3,2,Kerkfabriek Heilig Hart te Breedhout (VL - Halle)
0211.188.104,3,2,Kerkfabriek Sint-Rochus (VL - Halle)
0211.188.203,2,2,Fabrique d'Eglise Saint-Remacle (WL - Trois-Ponts)
0211.188.302,3,2,Kerkfabriek Sint-Maria te Everbeek (VL - Brakel)
0211.188.498,2,2,Fabrique d'Eglise Saint Luc ( WL - Flobecq )
0211.188.597,2,2,Fabrique d'Eglise Saint-Pierre à Haine-Saint-Pierre (WL - La Louvière)
0211.188.696,2,2,Fabrique d'Eglise Saint Victor ( WL - Fleurus )
0211.188.894,3,2,Kerkfabriek Heilige Familie (VL - Hamme)
0211.188.993,3,2,Kerkfabriek Sint-Pietersbanden (VL - Hamme)
0211.189.092,2,2,Fabrique d'Eglise Saint-Augustin (BR - Forest)
0211.189.092,3,2,Kerkfabriek Sint-Augustinus (BR - Vorst)
0211.189.191,2,2,Fabrique d'Eglise Saint-Victor à Glons (WL - Bassenge)
0211.189.290,2,2,Fabrique d'Eglise Saint Louis Roi ( WL-Ham-sur-Heure-Nalinnes )
0211.189.389,3,2,Kerkfabriek Sint-Petrus en Paulus te Hansbeke (VL - Deinze)
0211.189.488,2,2,Fabrique d'Eglise Saint-Christophe (WL - Hannut)
0211.189.587,2,2,Fabrique d'Eglise Saint-Lambert ( WL- Burdinne )
0211.189.686,2,2,Fabrique d'Eglise Saint-Pierre à Haneffe (WL - Donceel)
0211.189.785,3,2,Kerkfabriek Sint-Rita (VL - Harelbeke)
0211.189.884,3,2,Kerkfabriek Sint-Jozef (VL - Harelbeke)
0211.189.983,3,2,Kerkfabriek Sint-Augustinus te Stasegem (VL - Harelbeke)
0211.190.082,3,2,Kerkfabriek Onze-Lieve-Vrouw Koningin van de Vrede (VL - Harelbeke)
0211.190.181,2,2,Fabrique d'Eglise Saint Antoine ( WL - Manhay )
0211.190.280,3,2,Kerkfabriek Onze-Lieve-Vrouw-Virga-Jesse (VL - Hasselt)
0211.190.379,2,2,Fabrique d'Eglise Notre-Dame à Froidchapelle ( WL - Froidchapelle )
0211.190.577,3,2,Kerkfabriek Onze-Lieve-Vrouw van Banneux (VL - Hasselt)
0211.190.676,3,2,Kerkfabriek Sint-Martinus (VL - Hasselt)
0211.190.775,3,2,Kerkfabriek Runkst (VL - Hasselt)
0211.190.874,2,2,Fabrique d'Eglise Saint-Amand à Hamme-Mille (WL - Beauvechain)
0211.190.973,3,2,Kerkfabriek Sint-Lambertus te Kiewit (VL - Hasselt)
0211.191.072,3,2,Kerkfabriek Heilig Hart (VL - Hasselt)
0211.191.171,3,2,Kerkfabriek Sint-Jozef te Rapertingen (VL - Hasselt)
0211.191.270,3,2,Kerkfabriek Onze-Lieve-Vrouw Bezoeking te Godsheide (VL - Hasselt)
0211.191.369,3,2,Kerkfabriek Sint Quintinus en Onze-Lieve-Vrouw (VL - Hasselt)
0211.191.468,2,2,Fabrique d'Eglise Saint-Jacques à Harzé (WL - Aywaille)
0211.191.666,2,2,Fabrique d'Eglise Saint Sulpice ( WL - Saint-Ghislain )
0211.191.765,3,2,Kerkfabriek Sint-Dimpna (VL - Geel)
0211.192.062,2,2,Fabrique d'Eglise Saint Léonard ( WL- Trooz )
0211.192.161,3,2,Kerkfabriek Christus-Koning te Waterschei (VL - Genk)
0211.192.260,3,2,Kerkfabriek Sint-Walburga (VL - Veurne)
0211.192.359,2,2,Fabrique d'Eglise Saint-Joseph à Vieux-Campinaire (WL - Fleurus)
0211.192.458,2,2,Fabrique d'Eglise Saint-Pie X (BR - Forest)
0211.192.458,3,2,Kerkfabriek Heilige Pius X (BR - Vorst)
0211.192.656,3,2,Kerkfabriek Sint-Jozef te Holven (VL - Geel)
0211.192.854,3,2,Kerkfabriek Onze-Lieve-Vrouw Koningin van de Vrede te Zonderschot (VL - Heist-op-den-Berg)
0211.192.953,2,2,Fabrique d'Eglise Saint-Marie-Mère de Dieu (BR - Forest)
0211.192.953,3,2,Kerkfabriek Heilige-Maria-Moeder Gods (BR - Vorst)
0211.193.052,3,2,Kerkfabriek Sint-Trudo te Helchteren (VL - Houthalen-Helchteren)
0211.193.151,2,2,Fabrique d'Eglise Saint-Symphorien à Petit-Rosière (WL - Ramillies)
0211.193.250,3,2,Kerkfabriek Sint-Niklaas (VL - Hemiksem)
0211.193.349,2,2,Fabrique d'Eglise Saint-Laurent à Prayon (WL - Trooz)
0211.193.448,3,2,Kerkfabriek Onze-Lieve-Vrouw (VL - Herent)
0211.193.547,3,2,Kerkfabriek Onze-Lieve-Vrouw Hemelvaart te Heestert (VL - Zwevegem)
0211.193.646,3,2,Kerkfabriek Sint-Catharina te Herentals Begijnhof (VL - Herentals)
0211.193.745,3,2,Kerkfabriek Sint-Antonius van Padua (VL - Herentals)
0211.193.844,3,2,Kerkfabriek Onze-Lieve-Vrouw (VL - Herentals)
0211.193.943,3,2,Kerkfabriek Sint-Waldetrudis (VL - Herentals)
0211.194.042,3,2,Kerkfabriek Heilige Cornelius (VL - Herent)
0211.194.141,2,2,Fabrique d'Eglise Notre Dame ( WL - Pecq )
0211.194.240,2,2,Fabrique d'Eglise Saint Pierre ( WL - Pecq )
0211.194.339,4,2,Kirchenfabrik Sankt-Martinus - Hergenrath (WL - Kelmis)
0211.194.438,2,2,Fabrique d'Eglise Saint-Martin à Hermalle-sous-Huy (WL - Engis)
0211.194.636,2,2,Fabrique d'Eglise Saint Jean Baptiste ( WL -  Mouscron )
0211.194.735,2,2,Fabrique d'Eglise Saint-Martin à Fumal (WL - Braives)
0211.194.834,3,2,Kerkfabriek Sint-Amandus (VL - Geel)
0211.194.933,3,2,Kerkfabriek Heilige Hart (VL - Herselt)
0211.195.032,3,2,Kerkfabriek Sint-Antonius van Padua te Essen Station (VL - Essen)
0211.195.131,3,2,Kerkfabriek Onze-Lieve-Vrouw Hemelvaart te Bergom (VL - Herselt)
0211.195.230,2,2,Fabrique d'Eglise Saint Martin ( WL - Mons )
0211.195.329,3,2,Kerkfabriek Sint-Michiel te Hekelgem (VL - Affligem)
0211.195.428,2,2,Fabrique d'Eglise Notre-Dame du Bon-Secours à Pontisse (WL - Herstal)
0211.195.626,3,2,Kerkfabriek Sint-Pietersbanden en Sint-Berlindis te Grotenberge (VL - Zottegem)
0211.195.725,3,2,Kerkfabriek Sint-Amandus te Denderhoutem (VL - Haaltert)
0211.195.824,3,2,Kerkfabriek Heilige Lutgardis (VL - Heusden-Zolder)
0211.195.923,2,2,Fabrique d'Eglise Saint-Ghislain à Haine-Saint-Paul (WL - La Louvière)
0211.196.022,3,2,Kerkfabriek Sint-Alfons te Goor (VL - Heist-op-den-Berg)
0211.196.121,3,2,Kerkfabriek Sint-Jan de Doper (VL - Herentals)
0211.196.220,2,2,Fabrique d'Eglise Saint Maure ( WL - Mouscron )
0211.196.319,3,2,Kerkfabriek Sint-Franciscus van Assisi te Heverlee (VL - Leuven)
0211.196.418,3,2,Kerkfabriek Sint-Willibrordus te Heusden (VL - Heusden-Zolder)
0211.196.517,3,2,Kerkfabriek Onbevlekt Hart van Maria te Heverlee (VL - Leuven)
0211.196.616,3,2,Kerkfabriek Onze-Lieve-Vrouw van Troost te Heverlee (VL - Leuven)
0211.196.715,3,2,Kerkfabriek Sint-Jozef te Hoboken (VL - Antwerpen)
0211.196.814,3,2,Kerkfabriek Heilige Familie te Hoboken (VL - Antwerpen)
0211.196.913,3,2,Kerkfabriek Heilig Hart te Hoboken (VL - Antwerpen)
0211.197.012,3,2,Kerkfabriek Onze-Lieve-Vrouw-Geboorte te Hoboken (VL - Antwerpen)
0211.197.111,3,2,Kerkfabriek Heilig Hart (VL - Heist-op-den-Berg)
0211.197.210,3,2,Kerkfabriek Sint-Catharina (VL - Hoegaarden)
0211.197.309,3,2,Kerkfabriek Sint-Lambertus (VL - Heist-op-den-Berg)
0211.197.408,3,2,Kerkfabriek Sint-Valentinus te Berkenbos (VL - Heusden-Zolder)
0211.197.507,3,2,Kerkfabriek Sint-Jacob de Meerdere te Hoeke (VL - Damme)
0211.197.804,3,2,Kerkfabriek Onze-Lieve-Vrouw Maria Middelares (VL - Hoeselt)
0211.197.903,2,2,Fabrique d'Eglise Saint-Pierre à Hognoul (WL - Awans)
0211.198.002,3,2,Kerkfabriek Onze-Lieve-Vrouw te Voormezele (VL - Ieper)
0211.198.198,3,2,Kerkfabriek Sint-Maurus (VL - Holsbeek)
0211.198.396,3,2,Kerkfabriek Sint-Clemens (VL - Hoeilaart)
0211.198.594,3,2,Kerkfabriek Sint-Lambertus op til (VL - Hoegaarden)
0211.198.693,3,2,Kerkfabriek Sint-Martinus (VL - Halle)
0211.198.792,3,2,Kerkfabriek Sint-Jozef te De Geite (VL - Hooglede)
0211.198.891,2,2,Fabrique d'Eglise Saint-Remacle aux  Cahottes (WL - Flémalle)
0211.198.990,3,2,Kerkfabriek Sint-Catharina (VL - Hasselt)
0211.199.089,3,2,Kerkfabriek Heilige Familie te Duinbergen (VL - Knokke-Heist)
0211.199.188,3,2,Kerkfabriek Sint-Jan-de-Doper te Helkijn (VL - Spiere-Helkijn)
0211.199.287,3,2,Kerkfabriek Goddelijke Zaligmaker Tienen Zuid (VL - Tienen)
0211.199.386,2,2,Fabrique d'Eglise Notre-Dame de la Visitation à Hainin (WL - Hensies)
0211.199.485,3,2,Kerkfabriek Onze-Lieve-Vrouw van Fatima te Langdorp (VL - Aarschot)
0211.199.683,3,2,Kerkfabriek Sint-Anna (VL - Hamme)
0211.199.782,3,2,Kerkfabriek Onze-Lieve-Vrouw (VL - Aarschot)
0211.199.881,3,2,Kerkfabriek Sint-Godelieve te Aalter-Brug (VL - Aalter)
0211.199.980,3,2,Kerkfabriek Sint-Martinus (VL - Herzele)
0211.200.178,3,2,Kerkfabriek Onbevlekt Hart van Maria (VL - Rumst)
0211.200.277,3,2,Kerkfabriek Sint-Niklaas te Aaigem (VL - Erpe-Mere)
0211.200.376,2,2,Fabrique d'Eglise Saint Léger ( WL- Mons )
0211.200.475,2,2,Fabrique d'Eglise Notre-Dame et Saint-Lambert (WL - Herstal)
0211.200.574,3,2,Kerkfabriek Onbevlekt Hart van Maria van Fatima te Heule (VL - Kortrijk)
0211.200.673,3,2,Kerkfabriek Sint-Jan Evangelist (VL - Aalst)
0211.200.871,3,2,Kerkfabriek Sint-Antonius van Padua (VL - Aalst)
0211.200.970,3,2,Kerkfabriek Sint-Martinus (VL - Aalst)
0211.201.168,2,2,Fabrique d'Eglise Saint Martin ( WL - Jurbise )
0211.201.267,2,2,Fabrique d'Eglise Saint Léon ( WL - Gerpinnes )
0211.201.366,3,2,Kerkfabriek Sint-Jan-Baptist te Afsnee (VL - Gent)
0211.201.465,2,2,Fabrique d'Eglise Saint Martin ( WL - Aiseau-Presles )
0211.201.564,2,2,Fabrique d'Eglise Notre Dame ( WL - Vresse-sur-Semois )
0211.201.663,2,2,Fabrique d'Eglise Saint Walfroid ( WL - Vresse-sur-Semois )
0211.201.762,3,2,Kerkfabriek Sint-Joris te Hemelsveld (VL - Alken)
0211.201.861,2,2,Fabrique d'Eglise Saint-Lambert dite Saint-Oremus (WL - Herstal)
0211.201.960,3,2,Kerkfabriek Onze-Lieve-Vrouw te Alsemberg (VL - Beersel)
0211.202.059,2,2,Fabrique d'Eglise Saint-Joseph à Viamont (WL - Amay)
0211.202.158,2,2,Fabrique d'Eglise Saint-Bavon à Amougies (WL - Mont-de-l'Enclus)
0211.202.257,2,2,Fabrique d'Eglise Saint-François-Xavier (BR - Anderlecht)
0211.202.257,3,2,Kerkfabriek Sint-Franciscus-Xaverius (BR - Anderlecht)
0211.202.356,2,2,Fabrique d'Eglise Notre-Dame Immaculée à Cureghem (BR - Bruxelles)
0211.202.356,3,2,Kerkfabriek Onze-Lieve-Vrouw Onbevlekt te Kuregem (BR - Brussel)
0211.202.554,2,2,Etablissement Saints-Pierre et Guidon (BR - Anderlecht)
0211.202.653,2,2,Fabrique d'Eglise Notre Dame du Sacré Coeur ( WL - Andenne )
0211.202.752,2,2,Fabrique d'Eglise Immaculée Conception à Andrimont (WL - Dison)
0211.202.851,2,2,Fabrique d'Eglise Saint-Roch (WL - Dison)
0211.202.950,2,2,Fabrique d'Eglise Saint-Laurent à Andrimont (WL - Dison)
0211.203.049,2,2,Fabrique d'Eglise Sainte-Thérèse de L'Enfant Jésus (WL - Anderlues)
0211.203.148,2,2,Fabrique d'Eglise Saint-Médard (WL - Anderlues)
0211.203.247,2,2,Fabrique d'Eglise La Résurrection
0211.203.346,2,2,Etablissement Saint-Luc (BR - Anderlecht)
0211.203.346,3,2,Kerkfabriek Sint-Lucas (BR - Anderlecht)
0211.203.445,2,2,Fabrique d'Eglise Saint Vitu ( WL- Tinlot )
0211.203.544,2,2,Fabrique d'Eglise Saint-Joseph (BR - Anderlecht)
0211.203.544,3,2,Kerkfabriek Sint-Jozef (BR - Anderlecht)
0211.203.643,2,2,Fabrique d'Eglise Saint-Esprit (BR - Anderlecht)
0211.203.643,3,2,Kerkfabriek Heilige-Geest (BR - Anderlecht)
0211.203.841,2,2,Fabrique d'Eglise Notre-Dame-de-la-Joie et Saint-Gérard-Majella (BR - Anderlecht)
0211.203.841,3,2,Kerkfabriek Onze-Lieve-Vrouw van Vreugde en Sint-Gerardus-Majella (BR - Anderlecht)
0211.203.940,2,2,Fabrique d'Eglise Saint-Hubert à Sart-Tilman (WL - Liège)
0211.204.039,2,2,Fabrique d'Eglise Sainte-Bernadette à Angleur (WL - Liège)
0211.204.138,2,2,Fabrique d'Eglise Sainte Adèle ( WL - Anhée )
0211.204.237,2,2,Fabrique d'Eglise Saint Jacques ( WL - Anhée )
0211.204.336,2,2,Fabrique d'Eglise Saint Martin ( WL - Anhée )
0211.204.435,2,2,Fabrique d'Eglise Saint-Vincent et Sainte-Barbe (WL - Ans)
0211.204.633,2,2,Fabrique d'Eglise Saint-Martin (WL - Ans)
0211.204.732,2,2,Fabrique d'Eglise Sacré Coeur ( WL - Anhée )
0211.204.831,2,2,Fabrique d'Eglise Saint Antoine ( WL - Anhée )
0211.204.930,3,2,Kerkfabriek Sint-Lambertus te Dam (VL - Antwerpen)
0211.205.029,3,2,Kerkfabriek Sint-Catharina te Kiel (VL - Antwerpen)
0211.205.128,3,2,Kerkfabriek Heilige Jozef (VL - Antwerpen)
0211.205.227,3,2,Kerkfabriek Sint-Jacobus te Eversel (VL - Heusden-Zolder)
0211.205.425,3,2,Kerkfabriek Christus-Koning te Sleihage (VL - Hooglede)
0211.205.524,3,2,Kerkfabriek Onze-Lieve-Vrouw van Bijstand (VL - Aalst)
0211.205.623,2,2,Fabrique d'Eglise Sainte Marie ( WL- Ans )
0211.205.722,3,2,Kerkfabriek Sint-Elisabeth van Hongarije te Ten Broek (VL - Beersel)
0211.205.821,3,2,Kerkfabriek Sint-Carolus Borromeus (VL - Antwerpen)
0211.205.920,3,2,Kerkfabriek Onze-Lieve-Vrouw Hulp der Christenen te Sint-Maria-Aalter (VL - Aalter)
0211.206.019,3,2,Kerkfabriek Sint-Anna-ten-Drieën (VL- Antwerpen)
0211.206.118,3,2,Kerkfabriek Heilig Hart van Jezus (VL - Antwerpen)
0211.206.316,3,2,Kerkfabriek Sint-Jozef (VL - Antwerpen)
0211.206.415,3,2,Kerkfabriek Sint-Anna (VL - Aalst)
0211.206.514,3,2,Kerkfabriek Sint-Laurentius (VL - Antwerpen)
0211.206.613,3,2,Kerkfabriek Sint-Catharina (VL - Antwerpen)
0211.206.712,3,2,Kerkfabriek Christus-Koning te Kiel (VL - Antwerpen)
0211.206.811,3,2,Kerkfabriek Sint-Bernardus te Kiel (VL - Antwerpen)
0211.206.910,3,2,Kerkfabriek Sint-Joris (VL - Antwerpen)
0211.207.009,3,2,Kerkfabriek Sint-Jacob de Meerdere (VL - Antwerpen)
0211.207.108,3,2,Kerkfabriek Heilige Paulus (VL - Antwerpen)
0211.207.207,3,2,Kerkfabriek Sint-Walburgis (VL - Antwerpen)
0211.207.306,3,2,Kerkfabriek Onze-Lieve-Vrouw van Goeden Bijstand (VL - Antwerpen)
0211.207.504,3,2,Kerkfabriek Sint-Norbertus te Zurenborg (VL - Antwerpen)
0211.207.603,3,2,Kerkfabriek Onze-Lieve-Vrouw (VL - Antwerpen)
0211.207.702,3,2,Kerkfabriek Sint-Amandus te Stuivenberg (VL - Antwerpen)
0211.208.096,3,2,Kerkfabriek Onze-Lieve-Vrouw (VL - Antwerpen)
0211.208.195,3,2,Kerkfabriek Sint-Theresia van het Kind Jezus (VL - Anzegem)
0211.208.294,3,2,Kerkfabriek Saint Antoine de Padoue (VL - Ardooie)
0211.208.393,2,2,Fabrique d'Eglise Saint-Bernard à Waltzing (WL - Arlon)
0211.208.492,2,2,Fabrique d'Eglise Saint-Martin (WL - Arlon)
0211.208.591,2,2,Fabrique d'Eglise Saint-Donat (WL - Arlon)
0211.208.690,2,2,Fabrique d'Eglise Notre-Dame de l'Assomption à Argenteau (WL - Visé)
0211.208.789,3,2,Kerkfabriek Sint-Jozef te Voorheide (VL - Arendonk)
0211.208.888,3,2,Kerkfabriek Sint-Barbara te Ter Heide (VL - As)
0211.208.987,3,2,Kerkfabriek Sint-Theresia van het Kind Jezus (VL - As)
0211.209.086,3,2,Kerkfabriek Sint-Hubertus te Asse-Terheide (VL - Asse)
0211.209.185,3,2,Kerkfabriek Sint-Martinus (VL - Asse)
0211.209.284,3,2,Kerkfabriek Sint-Martinus te Asper (VL - Gavere)
0211.209.383,3,2,Kerkfabriek Sint Lutgardis (VL - Brugge)
0211.209.482,3,2,Kerkfabriek Onze-Lieve-Vrouw Onbevlekt Ontvangen te Assebroek (VL - Brugge)
0211.209.581,3,2,Kerkfabriek Onze-Lieve-Vrouw ten Hemel Opgenomen te Assebroek (VL - Brugge)
0211.209.779,3,2,Kerkfabriek Heilig Hart en Sint-Philippus te Assebroek (VL - Brugge)
